country,year,china_gdp,gdp,dist,border,bri,imp,exp,total
Afghanistan,2008,4594306848763,10109218068,4184,1,0,2693017,151626761,154319778
Afghanistan,2009,5101702432883,12439087077,4184,1,0,1375868,213366201,214742069
Afghanistan,2010,6087164527421,15856574731,4184,1,0,3680419,175264609,178945028
Afghanistan,2011,7551500425598,17804280538,4184,1,0,4403087,230009966,234413053
Afghanistan,2012,8532230724142,20001615789,4184,1,0,5186565,464033546,469220111
Afghanistan,2013,9570405758740,20561054090,4184,1,0,9595295,328258809,337854104
Afghanistan,2014,10438529153238,20484873230,4184,1,1,17371806,393559251,410931057
Afghanistan,2015,11015542352469,19907111419,4184,1,1,11770644,361819889,373590533
Afghanistan,2016,11137945669351,19362642267,4184,1,1,4534101,430653261,435187362
Afghanistan,2017,12143491448186,20191764940,4184,1,1,3427619,541205985,544633604
Afghanistan,2018,13608151864638,19362969582,4184,1,1,24108670,667867957,691976627
Albania,2008,4594306848763,12881353985,7696,0,0,88259172,196105777,284364949
Albania,2009,5101702432883,12044223458,7696,0,0,64319826,207861575,272181401
Albania,2010,6087164527421,11926962835,7696,0,0,147572616,199277724,346850340
Albania,2011,7551500425598,12890867536,7696,0,0,155367791,281482764,436850555
Albania,2012,8532230724142,12319784701,7696,0,0,142720886,343904583,486625469
Albania,2013,9570405758740,12776277649,7696,0,0,234840915,324596499,559437414
Albania,2014,10438529153238,13228244336,7696,0,1,189322397,378269750,567592147
Albania,2015,11015542352469,11386927679,7696,0,1,127861359,430190806,558052165
Albania,2016,11137945669351,11861353752,7696,0,1,128596467,506540419,635136886
Albania,2017,12143491448186,13025064967,7696,0,1,196222142,454033529,650255671
Albania,2018,13608151864638,15102500898,7696,0,1,107861715,541832246,649693961
Algeria,2008,4594306848763,170997541141,9130,0,0,849219211,3751909956,4601129167
Algeria,2009,5101702432883,137214821177,9130,0,0,946619790,4180239032,5126858822
Algeria,2010,6087164527421,161205065469,9130,0,0,1177317334,3999998875,5177316209
Algeria,2011,7551500425598,200015355528,9130,0,0,1960886720,4471882142,6432768862
Algeria,2012,8532230724142,209062886917,9130,0,0,2311905609,5416657169,7728562778
Algeria,2013,9570405758740,209754763861,9130,0,0,2164546739,6023897368,8188444107
Algeria,2014,10438529153238,213808808747,9130,0,0,1314681787,7395177834,8709859621
Algeria,2015,11015542352469,165978425168,9130,0,0,767362894,7583347042,8350709936
Algeria,2016,11137945669351,160032930354,9130,0,0,331886154,7647851142,7979737296
Algeria,2017,12143491448186,167390266101,9130,0,0,448323792,6784746250,7233070042
Algeria,2018,13608151864638,173757952824,9130,0,0,1178823679,7923382278,9102205957
Armenia,2008,4594306848763,11662040714,5952,0,0,11506191,69212461,80718652
Armenia,2009,5101702432883,8647936748,5952,0,0,23938617,87414900,111353517
Armenia,2010,6087164527421,9260284938,5952,0,0,46703414,117130052,163833466
Armenia,2011,7551500425598,10142111334,5952,0,0,34631988,135722781,170354769
Armenia,2012,8532230724142,10619320049,5952,0,0,35165810,113204371,148370181
Armenia,2013,9570405758740,11121465767,5952,0,0,73138531,119849623,192988154
Armenia,2014,10438529153238,11609512940,5952,0,1,167172701,122809063,289981764
Armenia,2015,11015542352469,10553337673,5952,0,1,208972279,112400450,321372729
Armenia,2016,11137945669351,10546135160,5952,0,1,280618246,111083094,391701340
